directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
234_09,1,1585141.1046908568,3170288.2093817135,3170297.7882522661,3520.629387917957,0.0,313031.07149999979,0.10440486621579173,3538.9038696974208,0.66817168265927007,1.0,2,78.88412410628406,1.0809536011748877,0.5,121.4857563545648,1.0809536011748877,0.5,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
237_09,1,1801439.4745838242,3602884.9491676483,3602894.5280382009,3259.9877758548932,0.0,369864.8137,0.098841642117812337,3319.0223655775526,0.99997008146817845,1.0,2,85.08804173306918,1.30470049869644,0.5,85.08802536462673,1.30470049869644,0.5,4,"P0002_orientationJ_ImageJ.txt, P0001_orientationJ_ImageJ.txt, P0003_orientationJ_ImageJ.txt, P0004_orientationJ_ImageJ.txt"
240_09,1,1945799.2144276476,3891604.4288552953,3891614.0077258479,577.78139647466355,8.4669310145910823e-45,397407.49119999976,0.040518753854613544,656.77576142735052,0.99965333866080042,1.0,2,81.13016930623665,1.4169119434971058,0.5,105.70224267884491,1.4169119434971058,0.5,4,"P0005_orientationJ_ImageJ.txt, P0008_orientationJ_ImageJ.txt, P0007_orientationJ_ImageJ.txt, P0006_orientationJ_ImageJ.txt"
243_09,1,2382164.3782696351,4764334.7565392703,4764344.3354098229,32960.86259227249,0.0,520812.52530000021,0.23428208942291001,33164.426040304294,0.00046410833139176599,1.0,2,98.24143294614743,2.1484448064255455,0.5,98.24142238916909,2.1484448064255455,0.5,4,"P0010_orientationJ_ImageJ.txt, P0009_orientationJ_ImageJ.txt, P0012_orientationJ_ImageJ.txt, P0011_orientationJ_ImageJ.txt"
246_09,1,1209336.4451316628,2418678.8902633255,2418688.4691338781,22398.025881727157,0.0,287540.56150000007,0.1876884328350529,22527.528424225035,0.00026100592226341313,1.0,2,95.22068097337981,3.739671935474862,0.5,95.22068039013686,3.739671935474862,0.5,4,"P0015_orientationJ_ImageJ.txt, P0013_orientationJ_ImageJ.txt, P0016_orientationJ_ImageJ.txt, P0014_orientationJ_ImageJ.txt"
249_09,1,1666297.3661700173,3332600.7323400346,3332610.3112105872,4791.9657199011272,0.0,323851.06249999983,0.12408493336510093,4799.4164073500433,0.99545800195070411,1.0,2,98.40333421392542,0.4448536521162061,0.5,98.40369525101296,0.4448536521162061,0.5,4,"P0018_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
252_09,1,2327921.2478138655,4655848.4956277311,4655858.0744982837,6311.655061303386,0.0,482006.21929999982,0.1152294313815196,6397.1702022262143,0.87084767958083875,1.0,2,94.7025627155373,1.4138975423969358,0.5,94.70251075214249,1.4138975423969358,0.5,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
255_09,1,2264174.2297808616,4528354.4595617233,4528364.0384322759,802.69297591149734,2.0900986975958255e-81,449214.51070000033,0.043827015434086909,843.10315023032649,0.99964404831421561,1.0,2,91.50890323393313,0.8305346156838572,0.5,91.50888926815415,0.8305346156838572,0.5,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
258_09,1,2867202.1407897547,5734410.2815795094,5734419.860450062,16996.284567780502,0.0,592718.03580000007,0.16669810279707714,17161.608919608214,0.024254330568809324,1.0,2,95.92868344976333,1.3932208225301224,0.5,95.92869830770924,1.3932208225301224,0.5,4,"P0029_orientationJ_ImageJ.txt, P0032_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
261_09,1,4141220.5566687062,8282447.1133374125,8282456.6922079651,3297.8027755426369,0.0,802683.2011000003,0.064665211013716001,3314.8728749238371,0.9713752504971036,1.0,2,101.46443116204655,0.3720998603604225,0.5,101.46377344845286,0.3720998603604225,0.5,4,"P0035_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
264_09,1,2666857.4115423313,5333720.8230846627,5333730.4019552153,2669.5503225605535,0.0,527827.87420000008,0.072374151022440089,2719.178051793448,0.98362460449109579,1.0,2,102.46237804053176,1.0613574559553567,0.5,141.11901403059292,1.0613574559553567,0.5,4,"P0037_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt"
267_09,1,1744921.574198192,3489849.148396384,3489858.7272669366,3577.7767789214681,0.0,346772.78600000002,0.10284121878719241,3611.2606261472461,0.97394180616293236,1.0,2,94.13905106989749,0.8561618402318804,0.5,94.13915640071568,0.8561618402318804,0.5,4,"P0041_orientationJ_ImageJ.txt, P0043_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
