directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,number of files,filenames
285_09,1,3520269.7252270412,7040555.4504540823,7040580.9941088893,232.57544612358674,0.0012128878891409572,715401.38759999967,0.023266828061067252,383.90783496356545,0.99999799072193329,1.0,3,74.3080560947011,0.7885265620797022,0.629485322238305,84.25174601911232,3.14721768474169,0.3502931398931024,170.0308549678344,2.161134491108295,0.020221537868592664,4,"P0067_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
288_09,1,1966254.3687792113,3932524.7375584226,3932550.2812132295,295.45862961386922,1.0901829358063395e-08,413318.89480000007,0.032348333045956704,427.63936047723638,0.99999466606251419,1.0,3,96.78853623595656,2.4282487487302897,0.5032669152296042,99.8719967346102,0.9368889849338539,0.3727702293959589,73.90721060021359,6.090574785557149,0.12396285537443698,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
291_09,1,1460029.6858610571,2920075.3717221143,2920100.9153769212,320.64641532849782,3.3839999518298243e-11,286966.87069999997,0.034828681400228101,349.56716824517088,0.99999879365156985,1.0,3,117.4398891089884,0.8767222502416845,0.9254114526063064,30.014337108191416,3.699920327463736,0.04914339602295791,20.12550093169211,13.623516998775068,0.0254451513707357,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
294_09,1,1917416.4590605304,3834848.9181210608,3834874.4617758677,151.97095574054478,0.84929702014598707,381287.01470000012,0.022593057165862653,195.24693083887936,0.99999999985555332,0.99999999045571997,3,102.015585172301,1.1288519558624288,0.8787561548390453,9.21164573962784,1.2971420200590922,0.08696452757658861,66.607984129569,4.857972507919419,0.034279317584366045,4,"P0078_orientationJ_ImageJ.txt, P0080_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt"
297_09,1,2117604.3979848032,4235224.7959696064,4235250.3396244133,304.10220588012811,1.5979522434550653e-09,462296.20450000017,0.034059203753953424,528.9827549489936,0.99996981503060656,1.0,3,90.32737121982223,2.5442548829269915,0.9048256570266391,76.5124391882826,0.35798125045176943,0.0824226074617357,61.99258727315376,16.933820972380005,0.012751735511625275,4,"P0084_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
300_09,1,1664756.7777868679,3329529.5555737359,3329555.0992285428,218.67113516188124,0.0080593063485862454,357722.68759999995,0.031745423238304905,366.99706192036234,0.99999638004278135,1.0,3,97.83367634920297,2.9628645767697614,0.5064069367109924,118.7990691497001,2.0669929046085365,0.46991218085110453,15.396469084972836,1.4511823928723953,0.02368088243790309,4,"P0086_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
303_09,1,2716016.648170209,5432049.296340418,5432074.839995225,190.5031899352754,0.14623489271557885,551819.40869999991,0.023111029882579546,293.35161365768579,0.99999990772515113,0.99999999999999989,3,92.48303731388921,0.9347299995477959,0.7332081782910196,74.02469658372023,2.9339169368630467,0.24867209251427605,100.1330504748719,15.46584193190541,0.01811972919470431,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt"
306_09,1,2587005.6879861299,5174027.3759722598,5174052.9196270667,429.83671494859868,2.9487281955087375e-24,546674.13949999982,0.03388061230965829,619.39526831670264,0.99990246011109796,1.0,3,82.50345875468561,1.3880880105031297,0.5691211566436428,86.78039678861902,2.7319989490420618,0.41480163161711414,169.83371455430225,3.1998611551762126,0.01607721173924314,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0096_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
309_09,1,1952043.3971362975,3904102.7942725951,3904128.337927402,263.11592682260539,7.5475845490142938e-06,394996.68699999998,0.029217765166907664,336.7643264194428,0.9999993785355078,1.0,3,106.44151768984456,0.4227345916659839,0.48976329789022965,81.94845946475824,3.0236495308911313,0.27042602341550065,108.24778966990331,4.513956651269823,0.23981067869426975,4,"P0097_orientationJ_ImageJ.txt, P0100_orientationJ_ImageJ.txt, P0098_orientationJ_ImageJ.txt, P0099_orientationJ_ImageJ.txt"
312_09,1,1622379.4589603648,3244774.9179207296,3244800.4615755365,185.30447680321714,0.21513233022235287,358357.73800000013,0.032766542456365573,389.70295886829467,0.99999430105750897,1.0,3,87.64542694165397,4.516618486940059,0.5446991879926552,96.58031957390067,1.157875905451218,0.28621896272733954,110.34073954435843,5.5119077549906255,0.16908184928000536,4,"P0103_orientationJ_ImageJ.txt, P0104_orientationJ_ImageJ.txt, P0101_orientationJ_ImageJ.txt, P0102_orientationJ_ImageJ.txt"
