directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,mu3,kappa3,prob3,number of files,filenames
237_09,1,1799877.3887797948,3599776.7775595896,3599811.9000849496,189.03737278954861,0.12734876100016673,369864.8137,0.027403938248853312,275.0832601040936,0.99999996927626555,0.99999999999999756,4,79.18497109027751,1.226548796215848,0.5913063149242378,80.20254516229002,0.7526892620669339,0.185301118083304,88.53465545948471,5.802329561668647,0.14131458589786056,109.67937247557684,9.24696686597232,0.08207798109459757,4,"P0002_orientationJ_ImageJ.txt, P0001_orientationJ_ImageJ.txt, P0003_orientationJ_ImageJ.txt, P0004_orientationJ_ImageJ.txt"
240_09,1,1945631.9365308976,3891285.8730617953,3891320.9955871552,244.09460191050752,0.0001137436679147534,397407.49119999976,0.028398256790714099,322.79430811786693,0.99999948331070287,1.0,4,82.71431832358643,2.4398867597660714,0.48807335865263,126.62663674115223,2.198465916308062,0.2066809117680499,56.192935544036416,0.7573074686795905,0.17753345371355655,108.12555943524117,5.860367440640757,0.12771227586576347,4,"P0005_orientationJ_ImageJ.txt, P0008_orientationJ_ImageJ.txt, P0007_orientationJ_ImageJ.txt, P0006_orientationJ_ImageJ.txt"
243_09,1,2367278.7302122558,4734579.4604245117,4734614.5829498712,218.18685046003117,0.0055381169320925985,520812.52530000021,0.032717202781068232,559.21666362662745,0.99990310794394788,1.0,4,97.58555551774045,1.9142823689420716,0.45521576831396077,100.10987540447059,4.9335932009815044,0.3159320596010351,93.73428291644382,9.526473123248492,0.13888661547390582,146.64802088560347,0.21033327847905686,0.08996555661109837,4,"P0010_orientationJ_ImageJ.txt, P0009_orientationJ_ImageJ.txt, P0012_orientationJ_ImageJ.txt, P0011_orientationJ_ImageJ.txt"
246_09,1,1202797.8219081932,2405617.6438163863,2405652.7663417463,239.77980486280023,0.0002316238648386794,287540.56150000007,0.045685062056353594,578.45712816356149,0.99998030199882426,1.0,4,96.1282246674692,7.25660039931632,0.5858882768123637,95.68497746483935,2.350387748569393,0.3466708905553082,83.70075041500719,14.508928254082498,0.060630475169264085,174.92327602617445,1.5555883008002942,0.006810357463064206,4,"P0015_orientationJ_ImageJ.txt, P0013_orientationJ_ImageJ.txt, P0016_orientationJ_ImageJ.txt, P0014_orientationJ_ImageJ.txt"
249_09,1,1664003.4176586256,3328028.8353172513,3328063.9578426112,240.43501242275161,0.00020823933760138539,323851.06249999983,0.028096444846444382,257.45890070547688,0.99999997827721765,0.99999999999982059,4,3.397292714258383,0.017983519528903067,0.6861187123690815,95.21861466110639,2.312302721208123,0.26727290520722957,117.18977235429546,7.253756289592733,0.04130022037999497,22.94107130823193,30.711128907421852,0.005308162043693865,4,"P0018_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
252_09,1,2324899.6926762029,4649821.3853524057,4649856.5078777652,198.26616152714851,0.055117947180008668,482006.21929999982,0.026624467232560511,336.15977672982456,0.99999967103577669,1.0,4,93.3819401253284,2.955305539664562,0.5479967454992616,108.31778241986893,0.6773972103484561,0.403210545079089,70.72424160558263,11.4476515485585,0.029611616510338463,47.544759890045775,7.225689291370386,0.01918109291131098,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
255_09,1,2263872.3060779045,4527766.6121558091,4527801.7346811686,201.0650717150223,0.04152195881733118,449214.51070000033,0.023480208013140869,245.64320036201664,0.99999999419833818,0.99999999999918576,4,90.90461725967653,0.8920030649810287,0.9363680345532329,11.96348313748365,1.3214241698729812,0.03470089947230658,120.45822158379835,11.659917164836822,0.017282426473799403,93.52918372770563,17.277626383237177,0.011648639500660994,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
258_09,1,2859090.638693545,5718203.27738709,5718238.3999124495,278.83311152455406,1.6470221136016157e-07,592718.03580000007,0.027878221838634497,461.30831923086498,0.99998147569099405,1.0,4,95.57309499361025,2.6197957983540894,0.7238005091704626,43.70578154901241,0.3443447541424871,0.21627067195460348,142.0017957213555,1.9452569027334237,0.03194098609771442,122.02482087688095,7.277156609915972,0.02798783277721951,4,"P0029_orientationJ_ImageJ.txt, P0032_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
261_09,1,4139668.9065018585,8279359.813003717,8279394.9355290765,204.59698172767412,0.02849797345912386,802683.2011000003,0.016765296629510582,225.99606090398376,0.99999999791450567,0.99999999995360334,4,4.207512523679463,0.15551699260404392,0.6162392358205317,86.32324531701605,2.0476174149900244,0.21044583410951348,117.62985036802858,2.453113777568332,0.1264092542148526,116.56564298225442,1.123084038391624,0.04690567585510209,4,"P0035_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
264_09,1,2665627.7991381921,5331277.5982763842,5331312.7208017437,224.35177943402763,0.002395970728781672,527827.87420000008,0.022816223878513089,276.4028047786544,0.99999993964822276,0.99999999999999567,4,112.19676438604618,1.0613477066534582,0.8350080821557153,4.743602339235931,1.8361219350603153,0.074532639461947,149.5698770774405,9.499933238379533,0.04863108721648575,167.09216045026116,7.154909844838497,0.041828191165851965,4,"P0037_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt"
